Name,Security Type,Symbol,Issue Period,Issue Size No. of Shares,Price Band,Face Value,Market Lot
Honasa Consumer Limited,Equity,HONASA,31 Oct 2023 to 02 Nov 2023,"2,88,99,514",308.00-324.00,10,46
Cello World Limited,Equity,CELLO,30 Oct 2023 to 01 Nov 2023,"2,20,61,947",617.00-648.00,5,23
Blue Jet Healthcare Limited,Equity,BLUEJET,25 Oct 2023 to 27 Oct 2023,"1,69,99,612",329.00-346.00,2,43
Irm Energy Limited,Equity,IRMENERGY,18 Oct 2023 to 20 Oct 2023,"76,24,800",480.00-505.00,10,29
Plaza Wires Limited,Equity,PWL,29 Sep 2023 to 05 Oct 2023,"1,32,00,158",51.00-54.00,10,277
Valiant Laboratories Limited,Equity,VALIANTLAB,27 Sep 2023 to 03 Oct 2023,"76,23,030",133.00-140.00,10,105
Jsw Infrastructure Limited,Equity,JSWINFRA,25 Sep 2023 to 27 Sep 2023,"13,62,83,186",113.00-119.00,2,126
Updater Services Limited,Equity,UDS,25 Sep 2023 to 27 Sep 2023,"1,19,99,999",280.00-300.00,10,50
Manoj Vaibhav Gems N Jewellers Limited,Equity,MVGJL,22 Sep 2023 to 26 Sep 2023,"91,20,664",204.00-215.00,10,69
Sai Silks Kalamandir Ltd,Equity,KALAMANDIR,20 Sep 2023 to 22 Sep 2023,"3,84,86,309",210.00-222.00,2,67
Signatureglobal India Limited,Equity,SIGNATURE,20 Sep 2023 to 22 Sep 2023,"1,12,43,196",366.00-385.00,1,38
Yatra Online Limited,Equity,YATRA,15 Sep 2023 to 20 Sep 2023,"3,09,42,356",135.00-142.00,1,105
Samhi Hotels Limited,Equity,SAMHI,14 Sep 2023 to 18 Sep 2023,"6,25,29,831",119.00-126.00,1,119
Zaggle Prepaid Ocean Services Limited,Equity,ZAGGLE,14 Sep 2023 to 18 Sep 2023,"1,93,26,761",156.00-164.00,1,90
R R Kabel Limited,Equity,RRKABEL,13 Sep 2023 to 15 Sep 2023,"1,33,17,737",983.00-1035.00,5,14
Ems Limited,Equity,EMSLIMITED,08 Sep 2023 to 12 Sep 2023,"1,07,87,431",200.00-211.00,10,70
Jupiter Life Line Hospitals Limited,Equity,JLHL,06 Sep 2023 to 08 Sep 2023,"84,97,169",695.00-735.00,10,20
Ratnaveer Precision Engineering Limited,Equity,RATNAVEER,04 Sep 2023 to 06 Sep 2023,"1,17,88,000",93.00-98.00,10,150
Rishabh Instruments Limited,Equity,RISHABH,30 Aug 2023 to 01 Sep 2023,"77,90,202",418.00-441.00,10,34
Vishnu Prakash R Punglia Limited,Equity,VPRPL,24 Aug 2023 to 28 Aug 2023,"2,19,30,000",94.00-99.00,10,150
Aeroflex Industries Limited,Equity,AEROFLEX,22 Aug 2023 to 24 Aug 2023,"2,32,17,667",102.00-108.00,2,130
Pyramid Technoplast Limited,Equity,PYRAMID,18 Aug 2023 to 22 Aug 2023,"75,60,400",151.00-166.00,10,90
Tvs Supply Chain Solutions Limited,Equity,TVSSCS,10 Aug 2023 to 14 Aug 2023,"2,51,22,289",187.00-197.00,1,76
